Source,Target,Weight
deutsch,german,324
german,deutsch,281
lustig,deutsch,265
minecraft,deutsch,246
deutsch,twitch,175
lustig,funny,371
comedy,lustig,293
lustig,prank,255
fun,lustig,220
comedy,funny,315
fun,funny,172
sketch,funny,137
funny,comedy,133
lustig,comedy,196
prank,comedy,172
fun,comedy,161
lustig,vlog,149
vlog,funny,119
vlog,deutsch,94
vlog,daily,92
vlog,vlogs,85
highlights,stream,221
twitch,highlights,188
highlights,,184
highlights,sky highlights,173
sky sport hd,highlights,173
rtl2,RTL,447
ganze folge,RTL,447
tv now,RTL,447
preview,RTL,447
btn,RTL,266
DAZN,DAZN Highlights,798
UEFA Champions League,DAZN,136
DAZN,DAZN Länderspiele,136
UEFA Champions League Highlights,DAZN,133
DAZN UEFA Champions League,DAZN,130
rap,deutschrap,518
rap,hiphop,365
hiphop,rap,223
haftbefehl,rap,113
azzlackz,rap,111
minecraft,challenge,251
challenge,deutsch,137
funny,challenge,127
challenge,ghg,122
challenge,bastighg,122
minecraft,minecraft challenge,158
minecraft,mc,147
minecraft,hardcore,136
Fußball,Fussball,228
Fußball,Soccer,218
Fußball,Football,211
Fußball,Bundesliga,195
Fußball,sportstudio,169
DAZN Highlights,DAZN Länderspiele,134
DAZN Highlights,DAZN Fußball International,124
DAZN Highlights,Goal Deutschland,114
UEFA Champions League,DAZN Highlights,113
hiphop,deutschrap,441
deutschrap,rap,109
deutschrap,hiphop,95
hip hop,deutschrap,68
ganze folge,tv now,663
rtl2,ganze folge,457
ganze folge,preview,390
ganze folge,tägliche highlights,351
Berlin,rtlzwei,271
berlin - tag & nacht,Berlin,271
rtl2,Berlin,271
btn,Berlin,271
berlin tag und nacht,Berlin,271
hiphop,hip hop,57
rtl2,tv now,495
preview,tv now,452
tv now,tägliche highlights,351
german,twitch,110
minecraft,german,100
german,neu,95
rtl2,preview,452
preview,tägliche highlights,351
twitch,live,220
twitch,stream,188
trymacs,twitch,152
Fußball Highlights,Highlights,217
Sky Highlights,Highlights,194
Sky Fußball,Highlights,194
EPL Highlights,Highlights,177
Premier League Highlights,Highlights,176
Rap,Deutschrap,248
Rap,Hip Hop,213
Hip Hop,Rap,165
Deutschrap,Rap,133
Rap,deutschrap,47
Bundesliga,Bundesliga Highlights,200
BVB,Bundesliga,121
Bundesliga,Fußball,111
Borussia Dortmund,Bundesliga,110
trymacs,live,139
live,highlights,138
live,stream,114
live,lustig,111
rtl2,rtlzwei,294
tiktok,funny,60
tiktok,viral,48
tiktok,shorts,45
shorts,tiktok,41
tiktok,tik tok,40
stream,oscar köln,208
stream,vorschau,208
Köln,stream,208
Serie,stream,208
fun,amerika,180
varion,fun,154
fun,prank,151
prank,usa,148
prank,amerika,147
reaktion,reaction,124
reaction,reaktion,105
reaction,reagiert,91
comedy,reaction,85
funny,reaction,64
Comedy,Unterhaltung,92
Sketch,Comedy,92
prank,Comedy,83
fun,Comedy,70
Comedy,Lustig,69
deutsch,tutorial,140
minecraft,tutorial,84
tutorial,tricks,80
tutorial,tipps,79
fifa,tutorial,79
nachrichten,news,122
aktuell,news,96
news,nachrichten,78
welt,news,73
news,tv,70
Sport,Highlights,145
F1,Sport,120
Sports,Sport,119
Sport,Action,118
Sport,Auto Racing,118
reaktion,reagiert,122
deutsch,reaktion,82
twitch,reaktion,82
Deutschrap,Hip Hop,189
Hip Hop,Deutschrap,91
Deutschrap,rap,33
Football,Soccer,213
Fussball,Football,166
Soccer,Football,135
FC Bayern,Football,118
doku,dokumentation,145
doku,reportage,120
reportage,doku,64
doku,funk,52
doku,experiment,40
ZDF,sportstudio,166
Fußball,ZDF,147
Fussball,ZDF,126
Bundesliga,ZDF,95
Bundesliga Highlights,ZDF,87
Dortmund,Germany,320
Germany,GTI,304
Germany,Burnout,304
Turbo,Germany,304
Germany,Fail,303
video,official video,66
news,video,65
haftbefehl,video,63
rap,video,62
nachrichten,video,60
Dortmund,Tuning,306
Turbo,Dortmund,306
Dortmund,Corvette,305
Dortmund,GTI,304
Doku,Dokumentation,230
Reportage,Doku,153
Doku,Reportage,124
Dokumentation,Doku,84
Doku,TV,66
german,2021,44
deutsch,2021,37
2021,doku,34
neu,2021,31
2021,2022,29
comedy,funk,69
dokumentation,funk,43
funk,ARD,42
News,funk,39
musik,music,55
fun,music,54
music,funny,44
music,vlog,40
music,hiphop,37
Berlin,Deutschland,86
