tag,category_id,count,color,category_name
,17,223,#ffe119,Sports
2020,24,377,#f032e6,Entertainment
2021,24,458,#f032e6,Entertainment
2022,24,413,#f032e6,Entertainment
2023,24,255,#f032e6,Entertainment
50667,24,210,#f032e6,Entertainment
7 vs wild,24,166,#f032e6,Entertainment
918,2,303,#e6194b,Autos & Vehicles
ARD,24,209,#f032e6,Entertainment
Abgasanlage,2,305,#e6194b,Autos & Vehicles
Action,17,151,#ffe119,Sports
Antilag,2,304,#e6194b,Autos & Vehicles
Audi,2,349,#e6194b,Autos & Vehicles
Auto,2,214,#e6194b,Autos & Vehicles
Auto Racing,17,119,#ffe119,Sports
BMW,2,359,#e6194b,Autos & Vehicles
BTS,10,233,#3cb44b,Music
BVB,17,268,#ffe119,Sports
Backfire,2,301,#e6194b,Autos & Vehicles
Barcelona,17,137,#ffe119,Sports
Bayern,17,166,#ffe119,Sports
Bayern Munich,17,130,#ffe119,Sports
Berlin,24,744,#f032e6,Entertainment
Beziehung,24,205,#f032e6,Entertainment
BiTurbo,2,301,#e6194b,Autos & Vehicles
Boost,2,331,#e6194b,Autos & Vehicles
Borussia Dortmund,17,247,#ffe119,Sports
Bugatti,2,337,#e6194b,Autos & Vehicles
Bundesliga,17,621,#ffe119,Sports
Bundesliga Highlights,17,208,#ffe119,Sports
Burnout,2,307,#e6194b,Autos & Vehicles
Cars,2,314,#e6194b,Autos & Vehicles
Challenge,24,183,#f032e6,Entertainment
Champions League,17,253,#ffe119,Sports
Chelsea,17,120,#ffe119,Sports
Claas,24,160,#f032e6,Entertainment
Comedy,24,521,#f032e6,Entertainment
Compilation,2,316,#e6194b,Autos & Vehicles
Corona,25,160,#bcf60c,News & Politics
Corvette,2,309,#e6194b,Autos & Vehicles
DAZN,17,1016,#ffe119,Sports
DAZN Fußball International,17,126,#ffe119,Sports
DAZN Highlights,17,846,#ffe119,Sports
DAZN Highlights UEFA Champions League,17,121,#ffe119,Sports
DAZN Länderspiele,17,153,#ffe119,Sports
